"Plugin","Gutenberg-Compatible","Compatibility Reason","Active Installs"
"wp-robots-txt","testing","","60000"
"wp-customer-reviews","yes","Existing functionality works in Gutenberg","60000"
"wp-product-review","testing","","60000"
"simple-css","yes","Existing functionality works in Gutenberg","60000"
"subscribe-to-comments","yes","Doesn't include editor functionality","60000"
"widget-context","yes","Doesn't include editor functionality","60000"
"capability-manager-enhanced","yes","Doesn't include editor functionality","60000"
"meteor-slides","yes","Doesn't include editor functionality","60000"
"post-views-counter","yes","Doesn't include editor functionality","60000"
"comprehensive-google-map-plugin","yes","Doesn't include editor functionality","60000"
"wp-security-audit-log","no","","60000"
"printfriendly","yes","Doesn't include editor functionality","60000"
"ocean-extra","likely_no","Some editor UI is missing","60000"
"jquery-colorbox","testing","","60000"
"twitter","likely_yes","Existing functionality works in Gutenberg","60000"
"timthumb-vulnerability-scanner","likely_yes","Doesn't include editor functionality","60000"
"widget-settings-importexport","testing","","60000"
"html-on-pages","yes","Doesn't include editor functionality","60000"
"powerpress","likely_yes","Doesn't include editor functionality","60000"
"gallery-plugin","likely_no","Doesn't include editor functionality","60000"
"secure-wordpress","yes","","60000"
"coming-soon-maintenance-mode-from-acurax","likely_yes","Doesn't include editor functionality","50000"
"wp-mail-bank","likely_yes","Doesn't include editor functionality","50000"
"nginx-helper","likely_yes","Doesn't include editor functionality","50000"
"exploit-scanner","likely_yes","Doesn't include editor functionality","50000"
"analytics-counter","likely_yes","Doesn't include editor functionality","50000"
"configure-smtp","likely_yes","Doesn't include editor functionality","50000"
"rest-api","yes","Doesn't include editor functionality","50000"
"uber-login-logo","likely_yes","Doesn't include editor functionality","50000"
"sidebar-login","likely_yes","Doesn't include editor functionality","50000"
"admin-custom-login","likely_yes","Doesn't include editor functionality","50000"
"super-socializer","likely_yes","Doesn't include editor functionality","50000"
"lj-maintenance-mode","likely_yes","Doesn't include editor functionality","50000"
"mailgun","likely_yes","Doesn't include editor functionality","50000"
"floating-social-media-icon","yes","Doesn't include editor functionality","50000"
"re-add-underline-justify","no","Some editor UI is missing","50000"
"eps-301-redirects","testing","","50000"
"website-monetization-by-magenet","likely_yes","Doesn't include editor functionality","50000"
"testimonials-widget","no","Some editor UI is missing","50000"
"popups","no","Some editor UI is missing","50000"
"woocommerce-shortcodes","no","Some editor UI is missing","50000"
"wp-meta-and-date-remover","yes","Doesn't include editor functionality","50000"
"wp-total-hacks","no","Meta box doesn't work as expected","50000"
"font-awesome-4-menus","likely_yes","Doesn't include editor functionality","50000"
"remove-category-url","yes","Doesn't include editor functionality","50000"
"scroll-back-to-top","yes","Doesn't include editor functionality","50000"
"wp-performance-score-booster","yes","Doesn't include editor functionality","50000"
"paypal-donations","yes","Existing functionality works in Gutenberg","50000"
"show-hide-author","yes","Existing functionality works in Gutenberg","50000"
"snazzy-maps","yes","Doesn't include editor functionality","50000"
"woocommerce-products-filter","yes","Existing functionality works in Gutenberg","50000"
"adrotate","yes","Doesn't include editor functionality","50000"
"seo-redirection","yes","Doesn't include editor functionality","50000"
"404page","yes","Doesn't include editor functionality","50000"
"akismet-privacy-policies","yes","Doesn't include editor functionality","50000"
"acf-content-analysis-for-yoast-seo","yes","Existing functionality works in Gutenberg","50000"
"social-icons-widget-by-wpzoom","likely_yes","Doesn't include editor functionality","50000"
"easy-social-icons","yes","Doesn't include editor functionality","50000"
"wp-live-chat-support","yes","Doesn't include editor functionality","50000"
"rss-importer","yes","Doesn't include editor functionality","50000"
"crayon-syntax-highlighter","yes","","50000"
"bulk-delete","yes","Doesn't include editor functionality","50000"
"simple-page-sidebars","testing","","50000"
"advanced-ads","testing","","50000"
"storefront-product-sharing","yes","Doesn't include editor functionality","50000"
"smart-youtube","yes","Existing functionality works in Gutenberg","50000"
"woocommerce-menu-bar-cart","yes","Existing functionality works in Gutenberg","50000"
"woocommerce-checkout-manager","yes","Doesn't include editor functionality","50000"
"kk-star-ratings","yes","Doesn't include editor functionality","50000"
"onesignal-free-web-push-notifications","yes","Doesn't include editor functionality","50000"
"wpfront-scroll-top","yes","Doesn't include editor functionality","50000"
"wpfront-user-role-editor","yes","Doesn't include editor functionality","50000"
"pods","likely_no","Some editor UI is missing","50000"
"wpremote","yes","Doesn't include editor functionality","50000"
"profile-builder","yes","Existing functionality works in Gutenberg","50000"
"resize-image-after-upload","yes","Doesn't include editor functionality","50000"
"json-api","likely_no","Some editor UI is missing","50000"
"wp-force-ssl","testing","","50000"
"mailpoet","yes","Existing functionality works in Gutenberg, Doesn't include editor functionality","50000"
"wpide","likely_yes","Doesn't include editor functionality","50000"
"404-redirection","yes","Doesn't include editor functionality","50000"
"page-list","yes","Existing functionality works in Gutenberg","50000"
"famethemes-demo-importer","testing","","50000"
"social-pug","testing","","50000"
"get-the-image","yes","Doesn't include editor functionality","50000"
"wp-hide-post","yes","Existing functionality works in Gutenberg","50000"
"social-warfare","no","Some editor UI is missing","50000"
"live-composer-page-builder","likely_no","","50000"
"sticky-menu-or-anything-on-scroll","yes","Doesn't include editor functionality","50000"
"easy-smooth-scroll-links","likely_yes","Doesn't include editor functionality","50000"
"post-thumbnail-editor","likely_yes","Doesn't include editor functionality","50000"
"header-and-footer-scripts","testing","","50000"
"yuzo-related-post","yes","Existing functionality works in Gutenberg","50000"
"bootstrap-3-shortcodes","no","Doesn't include editor functionality","50000"
"multiple-post-thumbnails","yes","Existing functionality works in Gutenberg","50000"
"wp-rss-aggregator","likely_no","","50000"
"svg-vector-icon-plugin","no","Some editor UI is missing","50000"
"storefront-sticky-add-to-cart","likely_yes","Doesn't include editor functionality","50000"
"wp-table-reloaded","likely_no","","50000"
"wp-rollback","yes","Doesn't include editor functionality","50000"
"widget-options","yes","Doesn't include editor functionality","50000"
"feedwordpress","yes","Existing functionality works in Gutenberg","50000"
"no-page-comment","yes","Doesn't include editor functionality","50000"
"link-juice-keeper","testing","","50000"
"editorial-calendar","likely_yes","Existing functionality works in Gutenberg","50000"
"autodescription","yes","Existing functionality works in Gutenberg","40000"
"advanced-wp-reset","likely_yes","Doesn't include editor functionality","40000"
"cache-enabler","likely_yes","Doesn't include editor functionality","40000"
"query-monitor","likely_yes","Doesn't include editor functionality","40000"
"wp-htaccess-editor","likely_yes","Doesn't include editor functionality","40000"
"amazon-web-services","likely_yes","Doesn't include editor functionality","40000"
"minimal-coming-soon-maintenance-mode","likely_yes","Doesn't include editor functionality","40000"
"newstatpress","likely_yes","Doesn't include editor functionality","40000"
"speed-booster-pack","unknown","","40000"
"nk-google-analytics","likely_yes","Doesn't include editor functionality","40000"
"woocommerce-jetpack","unknown","","40000"
"wp-clean-up","likely_yes","Doesn't include editor functionality","40000"
"wp-construction-mode","likely_yes","Doesn't include editor functionality","40000"
"easy-testimonials","unknown","","40000"
"cf7-conditional-fields","unknown","","40000"
"testimonial-rotator","unknown","","40000"
"similar-posts","unknown","","40000"
"analytics-code","likely_yes","Doesn't include editor functionality","40000"
"posts-in-page","unknown","","40000"
"compact-wp-audio-player","unknown","","40000"
"bootstrap-for-contact-form-7","unknown","","40000"
"baw-login-logout-menu","likely_yes","Doesn't include editor functionality","40000"
"facebook-auto-publish","unknown","","40000"
"wd-facebook-feed","unknown","","40000"
"nofollow","unknown","","40000"
"custom-field-suite","unknown","","40000"
"forget-about-shortcode-buttons","unknown","","40000"
"simple-facebook-plugin","unknown","","40000"
"php-compatibility-checker","unknown","","40000"
"jquery-vertical-accordion-menu","unknown","","40000"
"image-watermark","unknown","","40000"
"wp-author-date-and-meta-remover","unknown","","40000"
"woocommerce-table-rate-shipping","unknown","","40000"
"ultimate-responsive-image-slider","unknown","","40000"
"animate-it","unknown","","40000"
